text,polarity,subjectivity,created_at
How to Find Room for Forgiveness in the #MeToo Movement - TIME https://t.co/s9NrYXhBJS,0.0,0.0,Mon Feb 26 13:42:11 +0000 2018)
U R not alarmist.
#MajoryStonemanDouglasHighSchool #NeverAgain #MeToo #WomensMarch #TrumpRussia #Treason… https://t.co/56nR1gEBG1,0.0,0.0,Mon Feb 26 13:42:15 +0000 2018)
RT @SamLitzinger: @CillizzaCNN And she has tweeted her support for #metoo. Appropriate question.,0.5,0.5,Mon Feb 26 13:42:16 +0000 2018)
RT @_ShaunDougherty: My petition to protect kids from Hidden Predators who sexually assault children is ONLY 331 signatures away from 80 00…,0.111111111111,0.722222222222,Mon Feb 26 13:42:17 +0000 2018)
We get into their journey creating @gentefied and also hear how they’re navigating #Metoo and fighting #ToxicMasculinity,0.0,0.0,Mon Feb 26 13:42:19 +0000 2018)
RT @girl4_trump: Purge the #FBI of all the #CORRUPTION &amp; #Traitors
#FBICorruption #DeepState #MeToo https://t.co/iRueuwJsFh,0.0,0.0,Mon Feb 26 13:42:21 +0000 2018)
...”But by and large I had been alone. So. Very. Alone. Publicly Alone—abandoned most of all by the key figure in t… https://t.co/vYyPcqpy9A,0.182857142857,0.459047619048,Mon Feb 26 13:42:21 +0000 2018)
RT @JackPolakoff: #FakeOlympicsFacts Next Olympics will feature synchronized nepotism relay
  #ImpeachTrump #VoteThemOut #TrumpLies #Resist…,0.0,0.0,Mon Feb 26 13:42:23 +0000 2018)
RT @WernerFaraday: The #metoo hashtag's logo looks like a fleshlight,0.0,0.0,Mon Feb 26 13:42:24 +0000 2018)
RT @RossalynWarren: "Given my PTSD and my understanding of trauma  it’s very likely that my thinking would not necessarily be changing at t…,0.0,1.0,Mon Feb 26 13:42:25 +0000 2018)
Monica Lewinsky reconsiders issue of consent in #MeToo moment | Opinion https://t.co/79EL5KNT9V,0.0,0.0,Mon Feb 26 13:42:26 +0000 2018)
RT @sallykohn: From my beautiful  strong and deeply smart friend @MonicaLewinsky :

"I now see how problematic it was that the two of us ev…,0.499206349206,0.792063492063,Mon Feb 26 13:42:27 +0000 2018)
