text,polarity,subjectivity,created_at
RT @NursepollyRgn: She pleaded for an abortion to save her life  her baby was dying  there was no hope for it  yet heartbeat. She was told…,0.0,0.0,Mon May 07 14:50:13 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:50:21 +0000 2018)
Stop 👏🏻 excluding 👏🏻 trans 👏🏻 people 👏🏻 from 👏🏻 your 👏🏻 discussion 👏🏻about 👏🏻 the 👏🏻8th 👏🏻 amendment 👏🏻
Just becaus… https://t.co/fGHY7egFRP,0.0,0.0,Mon May 07 14:50:25 +0000 2018)
RT @EmmaMurphy12150: Look at the lads...

😉

#8thref #Savethe8th #Repealthe8th #Together4Yes #LoveBothVoteNo

https://t.co/zoSEIBHVyM,0.0,0.0,Mon May 07 14:50:28 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:50:42 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:50:53 +0000 2018)
RT @senatornoone: Outside Holles St Hospital yesterday - shocking that women who are miscarrying or in other very challenging pregnancies a…,-0.11875,0.60625,Mon May 07 14:50:53 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:51:06 +0000 2018)
RT @JoeHigginsSP: 5pm tomorrow is a deadline  not a target. Don't be the one on the 26th regretting not voting.

Get form stamped today and…,0.0,0.0,Mon May 07 14:51:22 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 14:51:22 +0000 2018)
Everyone needs to make sure to be registered to vote tomorrow. #repealthe8th #together4yes,0.5,0.888888888889,Mon May 07 14:51:27 +0000 2018)
RT @officialadpro: Good night fellas!
 #antibullying #AtletBerkudaIndonesia #Eurovision #GOT7 #homeMade #MotoGP #MondayMotivation #onpoli #…,0.875,0.6,Mon May 07 14:51:29 +0000 2018)
RT @newsworthy_ie: Fatima Gunning continues to feature in anti-choice videos.

We've seen the poster and we did wonder what you were playin…,0.0,0.0,Mon May 07 14:52:00 +0000 2018)
RT @colettebrowne: Friend went to a Garda station yesterday to get on the supplemental register. Garda told her that “she had never seen an…,0.0,0.0,Mon May 07 14:52:06 +0000 2018)
RT @TarynDeVere: This is outrageous. Call Pearse St Gardai to register a complaint. https://t.co/ugPy244P5L,-0.65,0.6,Mon May 07 14:52:12 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 14:52:14 +0000 2018)
RT @cafrunconnolly: apologies to all the men out there crying because us women want to take control over what happens in OUR OWN BODIES. Yo…,0.2,0.8,Mon May 07 14:52:15 +0000 2018)
RT @LoveLifeLove8th: #repealthe8th : “He aborts them so far along they come out crying and looking for their mama.” https://t.co/uhQfjkqH2u,-0.05,0.8,Mon May 07 14:52:18 +0000 2018)
Please take note folks at home who have the stamina. Sure you could even let on to be voting no and have a right DM… https://t.co/3qrxyjyd9J,0.392857142857,0.712301587302,Mon May 07 14:52:26 +0000 2018)
RT @Colmogorman: We need your help to counter the massive &amp; misleading onslaught of anti-repeal ads on social media. Help us reach 1 000 00…,0.0166666666667,0.533333333333,Mon May 07 14:52:44 +0000 2018)
Went by people at Trinity campaigning for NO vote. Congratulations you absolute scumbags. Your 20ft pics are the mo… https://t.co/QnRMP43cek,0.2,0.9,Mon May 07 14:52:54 +0000 2018)
RT @NursepollyRgn: I can’t help but think of the girls &amp; women who had their children taken from them weeks  months  years after they were…,0.0,0.0,Mon May 07 14:53:02 +0000 2018)
RT @ChiuauaTeardrop: Yusss! For Repeal this Friday in @TGSDublin. Line up is ridiculously good (see image) &amp; all proceeds go to Together Fo…,0.7,0.6,Mon May 07 14:53:07 +0000 2018)
@thejournal_ie And every single one  is one too many! #8thref #Repealthe8th #WomensRights #WomensHealth #femaleautonomy,0.276785714286,0.357142857143,Mon May 07 14:53:31 +0000 2018)
One of the most intelligent things I've heard! https://t.co/Tyw5HfZOlQ,0.75,0.7,Mon May 07 14:53:36 +0000 2018)
This has to be exactly what section 7 of the public order act is intended for?

