text,polarity,subjectivity,created_at
Precious beyond measure. All human life is precious  not just when it is judged perfect or convenient. The human ri… https://t.co/vu7YWbw4ln,0.4,0.64,Mon May 07 19:16:49 +0000 2018)
Notice how all the video stories #Together4Yes upload are about FFA and rape? Those make up 2% of abortion statisti… https://t.co/tey3lvJaQm,0.0,0.0,Mon May 07 19:19:01 +0000 2018)
RT @Savethe8thInfo: You might see these NEW posters going up around your area #savethe8th #votenotoabortion https://t.co/gbrEc49yET,0.136363636364,0.454545454545,Mon May 07 19:19:09 +0000 2018)
RT @Savethe8thInfo: Lauren  nurse in a large Dublin hospital  supporting the statement of over 130 Nurses and Midwives and why they are Vot…,0.232142857143,0.339285714286,Mon May 07 19:19:43 +0000 2018)
RT @Savethe8thInfo: Catherina O'Sullivan  psychiatric nurse  supporting the statement of over 130 Nurses and Midwives and why they are Voti…,0.25,0.25,Mon May 07 19:20:23 +0000 2018)
Once the Irish public become fully aware of Trolley boy Harris' extreme and barbaric proposals   they will reject t… https://t.co/vof2Btm8vp,0.03125,0.329166666667,Mon May 07 19:20:40 +0000 2018)
RT @Savethe8thInfo: Peadar Tóibín  TD  Meath West  explaining how future generations will be saved by the 8th amendment. Speaking at the GP…,0.0,0.125,Mon May 07 19:20:51 +0000 2018)
RT @Savethe8thInfo: The #LifeCanvass hits 3 000 volunteers  has knocked on 700 000 doors since January  and smashes targets ahead of the re…,0.0,0.0,Mon May 07 19:21:01 +0000 2018)
RT @8thRefNews: An unexpected development in the #8thref campaign took place in Scotland when Mass goers heard an Taoiseach Leo Varadkar sp…,0.1,1.0,Mon May 07 19:21:08 +0000 2018)
And so say ALL OF US! Take down all turncoat baby betrayers! People of Irl stand up for last chance to save horror… https://t.co/GwwSV1Mdgv,-0.0972222222222,0.177777777778,Mon May 07 19:21:12 +0000 2018)
True 👌 On May 25th  demand #RealChoice for our sisters  daughters and friends. Preserve rights for all the humans o… https://t.co/oFM7NMmqM1,0.35,0.65,Mon May 07 19:21:15 +0000 2018)
RT @Savethe8thInfo: "I survived an abortion." GIANNA JESSEN  spoke in Dublin &amp; will be speaking in Cork tomorrow. She was aborted at 7 mont…,0.0,0.0,Mon May 07 19:21:19 +0000 2018)
RT @gymjacked: As a gay man i hope Ireland votes no to this referendum. This liberal left agenda needs to end. Gay marriage between two peo…,0.277777777778,0.388888888889,Mon May 07 19:21:20 +0000 2018)
RT @LdnIrishU4L: “Will you go #hometovote NO?” Irish men in London standing up for mothers and babies! 
#lifefest18 #savethe8th #8thref htt…,0.0,0.0,Mon May 07 19:21:36 +0000 2018)
RT @declanganley: What is remarkable about this continuing poll swing to the 'No' side  is that it is being done without the support of any…,0.75,0.75,Mon May 07 19:21:39 +0000 2018)
RT @john_mcguirk: If you are an undecided voter  or know an undecided voter  take  or ask them to take  3 and a half minutes to listen to M…,-0.166666666667,0.166666666667,Mon May 07 19:21:46 +0000 2018)
“No woman has died from the 8th”

#Savita
#AishaChithira
#MichelleHarte https://t.co/T556rfEBju,0.0,0.0,Mon May 07 19:22:11 +0000 2018)
RT @Savethe8thInfo: Marie Donnelly supporting the statement of over 130 Nurses and Midwives and why they are Voting No on the 25th May. Mor…,0.25,0.25,Mon May 07 19:22:25 +0000 2018)
RT @MobileRebellion: Opening weekend of @GCPLsoccer play at The Lip against @PensacolaFC Let’s bring Sweet Lunacy to a whole new level!
htt…,0.240151515152,0.501515151515,Mon May 07 19:22:27 +0000 2018)
RT @declanganley: The 'Official Ireland' of all parliamentary party leaders  approved NGO's  all major media  all celebrities command you t…,0.0625,0.5,Mon May 07 19:22:31 +0000 2018)
RT @SBAList: Ireland can 𝘭𝘪𝘷𝘦 without abortion. #ProLife #SaveThe8th https://t.co/v4eU9uYrSs,0.0,0.0,Mon May 07 19:22:47 +0000 2018)
RT @WatchPopulistIr: @FintanCox Other areas are covered by the 2013 Act which legislated for the X case.
