text,polarity,subjectivity,created_at
RT @Colmogorman: If you are sick of No side misinformation and ads in your Facebook feed  on YouTube &amp; across your social media  don’t just…,-0.340476190476,0.461904761905,Mon May 07 15:24:57 +0000 2018)
RT @Donal_OKeeffe: My dad is in his mid-80s. Our #repealthe8th argument started with him saying vehemently that no man and no law should te…,0.0,0.0,Mon May 07 15:24:59 +0000 2018)
Support my crew! 
John Waters  Breda O' Brien  David Quinn  John McGuirk  The Iona Institute  Opus Dei and American… https://t.co/TaJROeHkod,0.0,0.0,Mon May 07 15:25:03 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 15:25:12 +0000 2018)
RT @Together4yes: An open letter calling for a Yes vote on May 25. 

We are all #together4yes

Vote Yes on May 25 for a more caring and com…,0.25,0.5,Mon May 07 15:25:14 +0000 2018)
RT @Together4yes: An open letter calling for a Yes vote on May 25. 

We are all #together4yes

Vote Yes on May 25 for a more caring and com…,0.25,0.5,Mon May 07 15:25:14 +0000 2018)
RT @TFYEastCork: We each have just one voice to raise  some have one story  some more than one. But as we raise each of our unique voices a…,0.4375,0.75,Mon May 07 15:25:15 +0000 2018)
RT @Arlettemlyons: Women and couples with ffa can NOT ave treated in Ireland if they want to end their pregnancy they have to travel. Rape…,0.0,0.0,Mon May 07 15:25:25 +0000 2018)
RT @sineadgleeson: There are hundreds of complex reasons why an abortion can be needed. Most of those reasons are currently illegal under I…,-0.1,0.466666666667,Mon May 07 15:25:29 +0000 2018)
RT @aliceeire: So often it has been through our plays &amp; stories that we as a nation have been able to break silence &amp; expose difficult  som…,0.0,0.8125,Mon May 07 15:25:32 +0000 2018)
RT @Together4yes: An open letter calling for a Yes vote on May 25. 

We are all #together4yes

Vote Yes on May 25 for a more caring and com…,0.25,0.5,Mon May 07 15:25:40 +0000 2018)
RT @Together4yes: An open letter calling for a Yes vote on May 25. 

We are all #together4yes

Vote Yes on May 25 for a more caring and com…,0.25,0.5,Mon May 07 15:25:42 +0000 2018)
RT @papermachemind: I've heard if you're registered to vote and vote yes in the #8thref someone shows up with a rescue puppy after you vote…,0.0,0.0,Mon May 07 15:25:51 +0000 2018)
RT @Together4yes: She’s your friend  she’s your neighbour  she lives on your street. 

There is a woman in your life who needs your Yes. Vo…,0.0,0.0,Mon May 07 15:26:01 +0000 2018)
RT @louiseckenny: Canvassing in the sunshine at @edsheeran @PaircUiCha0imh Great team- lots of happy Yes voters. #TogetherForYes #repealthe…,0.8,0.875,Mon May 07 15:26:04 +0000 2018)
RT @Berlinnaeus: This county  like this country  has many  many good  decent Catholic people. The vast majority of them are fair-minded and…,0.311111111111,0.561111111111,Mon May 07 15:26:14 +0000 2018)
RT @ProChoiceBerlin: Join Irish people abroad in a global call with @Together4yes chair @ailbhes &amp; Saoirse Ronan to find out how we can hel…,0.0,0.0,Mon May 07 15:26:15 +0000 2018)
RT @TaraFlynn: At this stage  with all we know  being neutral isn't neutral #repealthe8th #together4yes https://t.co/8HqjnEHF7s,0.0,0.0,Mon May 07 15:26:36 +0000 2018)
RT @louiseckenny: Canvassing in the sunshine at @edsheeran @PaircUiCha0imh Great team- lots of happy Yes voters. #TogetherForYes #repealthe…,0.8,0.875,Mon May 07 15:26:41 +0000 2018)
RT @SocDemsFingal: Fiver to the first person to send us a picture of a MALE Fingal TD or Senator actually canvassing for #RepealThe8th http…,0.0833333333333,0.177777777778,Mon May 07 15:26:42 +0000 2018)
RT @drvconway: This will no doubt be excellent tomorrow. All welcome to come discuss legal dimensions of #8thref #together4yes https://t.co…,0.666666666667,0.7,Mon May 07 15:26:44 +0000 2018)
The immorality of the No side just gets worse. The trauma and upset that these horribly insensitive posters must be… https://t.co/JB7MzZW4p9,-0.7,0.8,Mon May 07 15:26:46 +0000 2018)
RT @Together4yes: She’s your friend  she’s your neighbour  she lives on your street. 

There is a woman in your life who needs your Yes. Vo…,0.0,0.0,Mon May 07 15:26:46 +0000 2018)
RT @sineadgleeson: There are hundreds of complex reasons why an abortion can be needed. Most of those reasons are currently illegal under I…,-0.1,0.466666666667,Mon May 07 15:26:52 +0000 2018)
RT @Together4yes: An open letter calling for a Yes vote on May 25. 

We are all #together4yes

Vote Yes on May 25 for a more caring and com…,0.25,0.5,Mon May 07 15:27:01 +0000 2018)
RT @sineadgleeson: There are hundreds of complex reasons why an abortion can be needed. Most of those reasons are currently illegal under I…,-0.1,0.466666666667,Mon May 07 15:27:03 +0000 2018)
RT @pau1clarke: The 25th of May is 'International Missing Children's Day' and Ireland's #8thref. Abortion is the silent scream of the unbor…,-0.0666666666667,0.05,Mon May 07 15:27:12 +0000 2018)
RT @InHerIrishShoes: Stories like this will not appear in the abortion statistics.

#Together4Yes https://t.co/PWyfslfUmQ,0.0,0.0,Mon May 07 15:27:17 +0000 2018)
